doc_date,doc_no,source_tx_type,tx_type_name,customer,customer_class,region_manager,warehouse,material_code,material_name,brand,tax_included_amount,batch_no,shipping_channel,audit_date,creator,sales_out_qty,dispatch_qty,invoiced_qty,tx_type,audit_time,remark,source_doc_tx_type,entry_method,tax_included_unit_price,source_doc_no
2026-05-02,SO-00000001,04,正常出库,客户032,B类,大区经理1,WH-001-主仓,SKU-0003,物料-13,Brand B,12468.99,B20260502-0001,直营,2026-05-03,员工3,54,89,43,XSCK03,2026-05-03 09:00:00,促销,DDCK02,,26.15,
2026-03-26,SO-00000002,03,调拨出库,客户048,A类,大区经理2,WH-001-主仓,SKU-0021,物料-10,非自营-01,12247.94,B20260326-0002,电商,2026-03-26,员工10,7,7,32,XSCK01,2026-03-26 12:00:00,,,,285.36,
2026-05-22,SO-00000003,02,调拨出库,客户019,C类,大区经理1,WH-001-主仓,SKU-0023,物料-23,Brand B,49537.18,B20260522-0003,电商,2026-05-23,员工2,83,38,37,XSCK01,2026-05-23 08:00:00,正常,DDCK01,普通,396.76,SRC-00000003
2026-05-11,SO-00000004,04,报损出库,客户006,B类,大区经理3,WH-003-电商仓,SKU-0009,物料-18,非自营-03,37863.31,B20260511-0004,批发,2026-05-15,员工10,23,47,2,XSCK02,2026-05-15 12:00:00,,,普通,130.24,
2026-04-01,SO-00000005,03,正常出库,客户020,A类,大区经理5,WH-003-电商仓,SKU-0022,物料-01,Brand D,41863.27,B20260401-0005,零售,2026-04-01,员工5,32,35,98,XSCK03,2026-04-01 17:00:00,促销,DDCK02,,266.71,
2026-06-02,SO-00000006,03,报损出库,客户027,A类,大区经理3,WH-002-次仓,SKU-0019,物料-04,Brand I,28641.94,B20260602-0006,直营,2026-06-04,员工4,62,78,64,XSCK01,2026-06-04 11:00:00,正常,,,208.94,SRC-00000006
2026-06-06,SO-00000007,02,正常出库,客户043,B类,大区经理2,WH-001-主仓,SKU-0013,物料-28,Brand B,43563.61,B20260606-0007,直营,2026-06-07,员工6,45,62,34,XSCK02,2026-06-07 19:00:00,,,,106.31,
2026-05-25,SO-00000008,04,退货出库,客户037,B类,大区经理1,WH-002-次仓,SKU-0023,物料-16,Brand J,32309.98,B20260525-0008,电商,2026-05-28,员工2,68,73,35,XSCK01,2026-05-28 13:00:00,促销,,调拨,311.22,
2026-05-25,SO-00000009,03,调拨出库,客户048,C类,大区经理2,WH-002-次仓,SKU-0014,物料-16,Brand A,47314.07,B20260525-0009,电商,2026-05-28,员工4,30,3,37,XSCK03,2026-05-28 19:00:00,促销,DDCK02,调拨,496.91,SRC-00000009
2026-06-07,SO-00000010,03,报损出库,客户007,A类,大区经理5,WH-003-电商仓,SKU-0020,物料-18,Brand C,14138.8,B20260607-0010,直营,2026-06-11,员工7,39,20,38,XSCK02,2026-06-11 12:00:00,,DDCK02,普通,188.99,
2026-04-04,SO-00000011,03,退货出库,客户005,B类,大区经理3,WH-002-次仓,SKU-0019,物料-08,Brand J,29806.45,B20260404-0011,电商,2026-04-07,员工1,5,97,24,XSCK02,2026-04-07 16:00:00,正常,DDCK01,调拨,280.67,
2026-03-14,SO-00000012,02,退货出库,客户011,A类,大区经理2,WH-003-电商仓,SKU-0030,物料-10,Brand I,34537.55,B20260314-0012,批发,2026-03-15,员工3,67,44,63,XSCK03,2026-03-15 12:00:00,正常,DDCK01,,170.65,SRC-00000012
2026-04-02,SO-00000013,04,报损出库,客户015,C类,大区经理2,WH-002-次仓,SKU-0023,物料-16,Brand F,19707.57,B20260402-0013,直营,2026-04-03,员工1,22,32,12,XSCK02,2026-04-03 15:00:00,,DDCK01,,439.7,
2026-05-03,SO-00000014,04,报损出库,客户003,B类,大区经理5,WH-001-主仓,SKU-0027,物料-23,Brand A,43997.43,B20260503-0014,电商,2026-05-06,员工2,28,26,67,XSCK02,2026-05-06 19:00:00,,DDCK01,普通,433.66,
2026-03-13,SO-00000015,04,退货出库,客户005,C类,大区经理1,WH-002-次仓,SKU-0027,物料-24,Brand H,48992.18,B20260313-0015,批发,2026-03-14,员工9,22,48,69,XSCK01,2026-03-14 09:00:00,正常,,普通,97.6,SRC-00000015
2026-06-07,SO-00000016,04,正常出库,客户023,A类,大区经理2,WH-003-电商仓,SKU-0007,物料-11,Brand E,24739.1,B20260607-0016,批发,2026-06-11,员工10,86,5,74,XSCK02,2026-06-11 10:00:00,促销,DDCK02,调拨,450.97,
2026-04-10,SO-00000017,01,退货出库,客户037,C类,大区经理5,WH-003-电商仓,SKU-0004,物料-06,Brand D,19592.97,B20260410-0017,直营,2026-04-10,员工5,98,59,0,XSCK03,2026-04-10 10:00:00,正常,DDCK02,,84.24,
2026-04-18,SO-00000018,01,报损出库,客户009,C类,大区经理1,WH-003-电商仓,SKU-0012,物料-01,Brand H,23649.7,B20260418-0018,批发,2026-04-22,员工4,29,61,71,XSCK01,2026-04-22 10:00:00,,,普通,56.77,SRC-00000018
2026-03-13,SO-00000019,04,退货出库,客户015,A类,大区经理1,WH-002-次仓,SKU-0023,物料-30,Brand F,42651.56,B20260313-0019,直营,2026-03-17,员工4,43,49,53,XSCK02,2026-03-17 13:00:00,样品,DDCK01,普通,329.94,
2026-05-14,SO-00000020,02,正常出库,客户003,C类,大区经理3,WH-002-次仓,SKU-0027,物料-29,非自营-19,32308.87,B20260514-0020,批发,2026-05-15,员工8,42,30,97,XSCK01,2026-05-15 14:00:00,促销,DDCK02,调拨,199.09,
2026-05-10,SO-00000021,01,调拨出库,客户029,A类,大区经理5,WH-003-电商仓,SKU-0014,物料-29,Brand K,2334.14,B20260510-0021,直营,2026-05-10,员工3,60,17,8,XSCK03,2026-05-10 14:00:00,正常,,普通,270.06,SRC-00000021
2026-04-01,SO-00000022,03,调拨出库,客户006,B类,大区经理1,WH-001-主仓,SKU-0002,物料-12,Brand J,27154.28,B20260401-0022,直营,2026-04-02,员工4,77,70,35,XSCK02,2026-04-02 19:00:00,促销,,调拨,329.76,
2026-04-13,SO-00000023,01,退货出库,客户017,A类,大区经理3,WH-001-主仓,SKU-0001,物料-25,Brand A,963.28,B20260413-0023,直营,2026-04-15,员工2,71,58,36,XSCK03,2026-04-15 14:00:00,,DDCK01,,35.89,
2026-05-26,SO-00000024,03,正常出库,客户026,A类,大区经理4,WH-002-次仓,SKU-0028,物料-06,Brand G,38948.92,B20260526-0024,直营,2026-05-27,员工6,74,63,58,XSCK03,2026-05-27 19:00:00,促销,DDCK01,调拨,153.55,SRC-00000024
2026-05-08,SO-00000025,04,调拨出库,客户021,B类,大区经理5,WH-002-次仓,SKU-0018,物料-28,非自营-24,16482.78,B20260508-0025,批发,2026-05-09,员工9,92,61,20,XSCK02,2026-05-09 10:00:00,正常,DDCK02,普通,235.84,
2026-04-02,SO-00000026,01,退货出库,客户008,A类,大区经理4,WH-003-电商仓,SKU-0020,物料-13,Brand K,23653.17,B20260402-0026,直营,2026-04-03,员工4,68,63,19,XSCK02,2026-04-03 08:00:00,,DDCK02,调拨,140.63,
2026-06-08,SO-00000027,02,退货出库,客户021,B类,大区经理1,WH-002-次仓,SKU-0008,物料-26,Brand H,39954.04,B20260608-0027,电商,2026-06-08,员工6,59,15,0,XSCK01,2026-06-08 13:00:00,,DDCK01,调拨,34.0,SRC-00000027
2026-04-29,SO-00000028,01,正常出库,客户011,B类,大区经理5,WH-002-次仓,SKU-0003,物料-17,Brand C,2417.8,B20260429-0028,批发,2026-04-30,员工4,96,1,98,XSCK03,2026-04-30 10:00:00,,DDCK02,,52.47,
2026-06-10,SO-00000029,01,报损出库,客户038,A类,大区经理3,WH-003-电商仓,SKU-0026,物料-01,Brand A,8011.22,B20260610-0029,直营,2026-06-10,员工2,86,13,58,XSCK02,2026-06-10 10:00:00,样品,DDCK01,调拨,402.86,
2026-05-09,SO-00000030,01,退货出库,客户008,C类,大区经理1,WH-003-电商仓,SKU-0006,物料-08,Brand A,19958.22,B20260509-0030,批发,2026-05-12,员工6,84,48,27,XSCK03,2026-05-12 10:00:00,样品,,普通,456.58,SRC-00000030
2026-04-22,SO-00000031,04,报损出库,客户042,C类,大区经理5,WH-002-次仓,SKU-0022,物料-22,Brand G,11573.27,B20260422-0031,批发,2026-04-24,员工7,84,34,70,XSCK02,2026-04-24 16:00:00,,,普通,84.59,
2026-05-10,SO-00000032,02,报损出库,客户024,B类,大区经理5,WH-001-主仓,SKU-0013,物料-08,Brand I,16961.28,B20260510-0032,批发,2026-05-10,员工4,6,30,55,XSCK03,2026-05-10 19:00:00,正常,,,132.14,
