brand_sales_no,stock_in_date,doc_no,order_tx_type,audit_date,material_code,material_name,receivable_qty,batch_no,warehouse,doc_status,expiry_date,model,stock_in_qty,remark,logistics_no,logistics_company,supplier_material_code,supplier_material_name
BS-00000001,2026-05-02,RK-00000001,01,2026-05-04,SKU-0020,物料-01,269,R20260502-0001,WH-003-电商仓,已审核,2028-03-16,B型,970,破损,LG202605020001,圆通,SUP-000001,供应商物料-01
BS-00000002,2026-04-10,RK-00000002,02,2026-04-12,SKU-0002,物料-30,983,R20260410-0002,WH-001-主仓,已审核,2027-10-28,A型,167,正常,LG202604100002,圆通,SUP-000002,供应商物料-02
BS-00000003,2026-03-24,RK-00000003,01,2026-03-24,SKU-0028,物料-15,694,R20260324-0003,WH-002-次仓,已审核,2027-12-24,B型,265,破损,LG202603240003,顺丰,SUP-000003,供应商物料-03
BS-00000004,2026-05-08,RK-00000004,01,2026-05-10,SKU-0029,物料-29,403,R20260508-0004,WH-002-次仓,已审核,2026-12-18,D型,859,正常,LG202605080004,中通,SUP-000004,供应商物料-04
BS-00000005,2026-05-03,RK-00000005,01,2026-05-04,SKU-0007,物料-26,130,R20260503-0005,WH-001-主仓,已审核,2027-08-16,B型,556,,LG202605030005,圆通,SUP-000005,供应商物料-05
BS-00000006,2026-03-31,RK-00000006,01,2026-04-01,SKU-0024,物料-01,959,R20260331-0006,WH-003-电商仓,已审核,2027-06-11,A型,515,正常,LG202603310006,顺丰,SUP-000006,供应商物料-06
BS-00000007,2026-03-17,RK-00000007,02,2026-03-17,SKU-0025,物料-30,422,R20260317-0007,WH-001-主仓,已审核,2027-05-16,D型,830,,LG202603170007,圆通,SUP-000007,供应商物料-07
BS-00000008,2026-05-05,RK-00000008,03,2026-05-07,SKU-0025,物料-17,149,R20260505-0008,WH-003-电商仓,未审核,2027-06-28,A型,176,,LG202605050008,顺丰,SUP-000008,供应商物料-08
BS-00000009,2026-04-11,RK-00000009,03,2026-04-12,SKU-0030,物料-22,961,R20260411-0009,WH-003-电商仓,已审核,2027-11-24,D型,889,,LG202604110009,申通,SUP-000009,供应商物料-09
BS-00000010,2026-05-09,RK-00000010,01,2026-05-10,SKU-0020,物料-26,177,R20260509-0010,WH-001-主仓,已审核,2027-03-12,C型,31,破损,LG202605090010,圆通,SUP-000010,供应商物料-10
BS-00000011,2026-03-30,RK-00000011,03,2026-04-01,SKU-0019,物料-28,93,R20260330-0011,WH-003-电商仓,已审核,2027-06-28,D型,76,,LG202603300011,圆通,SUP-000011,供应商物料-11
BS-00000012,2026-05-20,RK-00000012,01,2026-05-20,SKU-0005,物料-07,430,R20260520-0012,WH-003-电商仓,已审核,2028-01-07,B型,719,,LG202605200012,中通,SUP-000012,供应商物料-12
BS-00000013,2026-04-08,RK-00000013,03,2026-04-10,SKU-0022,物料-16,715,R20260408-0013,WH-003-电商仓,已审核,2027-04-29,B型,621,,LG202604080013,圆通,SUP-000013,供应商物料-13
BS-00000014,2026-03-24,RK-00000014,01,2026-03-26,SKU-0028,物料-02,797,R20260324-0014,WH-002-次仓,已审核,2027-09-19,B型,857,破损,LG202603240014,圆通,SUP-000014,供应商物料-14
BS-00000015,2026-05-02,RK-00000015,03,2026-05-04,SKU-0029,物料-15,277,R20260502-0015,WH-003-电商仓,已审核,2027-10-09,B型,716,正常,LG202605020015,顺丰,SUP-000015,供应商物料-15
BS-00000016,2026-05-24,RK-00000016,03,2026-05-26,SKU-0008,物料-22,47,R20260524-0016,WH-001-主仓,未审核,2027-04-28,B型,621,破损,LG202605240016,中通,SUP-000016,供应商物料-16
BS-00000017,2026-05-11,RK-00000017,01,2026-05-13,SKU-0003,物料-20,935,R20260511-0017,WH-002-次仓,已审核,2027-02-10,C型,596,破损,LG202605110017,中通,SUP-000017,供应商物料-17
BS-00000018,2026-04-21,RK-00000018,03,2026-04-21,SKU-0030,物料-29,312,R20260421-0018,WH-003-电商仓,已审核,2027-12-16,D型,897,正常,LG202604210018,申通,SUP-000018,供应商物料-18
BS-00000019,2026-04-25,RK-00000019,01,2026-04-26,SKU-0013,物料-25,347,R20260425-0019,WH-002-次仓,已审核,2027-02-14,D型,26,正常,LG202604250019,顺丰,SUP-000019,供应商物料-19
BS-00000020,2026-03-18,RK-00000020,03,2026-03-20,SKU-0006,物料-11,763,R20260318-0020,WH-001-主仓,已审核,2027-04-13,C型,668,,LG202603180020,圆通,SUP-000020,供应商物料-20
BS-00000021,2026-06-01,RK-00000021,02,2026-06-02,SKU-0021,物料-24,339,R20260601-0021,WH-002-次仓,已审核,2027-09-30,C型,771,,LG202606010021,顺丰,SUP-000021,供应商物料-21
BS-00000022,2026-06-05,RK-00000022,02,2026-06-06,SKU-0029,物料-24,208,R20260605-0022,WH-002-次仓,已审核,2027-08-26,B型,264,正常,LG202606050022,圆通,SUP-000022,供应商物料-22
BS-00000023,2026-03-25,RK-00000023,02,2026-03-27,SKU-0023,物料-02,819,R20260325-0023,WH-003-电商仓,已审核,2026-11-03,A型,197,正常,LG202603250023,申通,SUP-000023,供应商物料-23
BS-00000024,2026-04-16,RK-00000024,01,2026-04-17,SKU-0014,物料-11,14,R20260416-0024,WH-001-主仓,已审核,2028-01-13,A型,337,破损,LG202604160024,圆通,SUP-000024,供应商物料-24
BS-00000025,2026-03-19,RK-00000025,01,2026-03-21,SKU-0025,物料-21,441,R20260319-0025,WH-001-主仓,已审核,2027-12-30,B型,389,破损,LG202603190025,中通,SUP-000025,供应商物料-25
BS-00000026,2026-03-23,RK-00000026,01,2026-03-25,SKU-0007,物料-16,998,R20260323-0026,WH-002-次仓,已审核,2026-09-27,C型,983,破损,LG202603230026,申通,SUP-000026,供应商物料-26
BS-00000027,2026-04-20,RK-00000027,02,2026-04-22,SKU-0011,物料-02,380,R20260420-0027,WH-003-电商仓,已审核,2027-04-23,D型,355,正常,LG202604200027,圆通,SUP-000027,供应商物料-27
BS-00000028,2026-06-07,RK-00000028,03,2026-06-07,SKU-0022,物料-19,904,R20260607-0028,WH-002-次仓,已审核,2027-12-19,A型,249,,LG202606070028,申通,SUP-000028,供应商物料-28
BS-00000029,2026-05-12,RK-00000029,01,2026-05-14,SKU-0009,物料-16,876,R20260512-0029,WH-002-次仓,已审核,2027-03-02,A型,482,破损,LG202605120029,中通,SUP-000029,供应商物料-29
BS-00000030,2026-03-25,RK-00000030,02,2026-03-27,SKU-0010,物料-08,112,R20260325-0030,WH-002-次仓,已审核,2028-02-04,C型,316,破损,LG202603250030,中通,SUP-000030,供应商物料-30
BS-00000031,2026-04-29,RK-00000031,01,2026-04-30,SKU-0020,物料-21,444,R20260429-0031,WH-003-电商仓,已审核,2027-11-17,B型,185,正常,LG202604290031,顺丰,SUP-000031,供应商物料-31
BS-00000032,2026-05-01,RK-00000032,01,2026-05-01,SKU-0030,物料-20,917,R20260501-0032,WH-002-次仓,已审核,2028-01-09,D型,322,破损,LG202605010032,圆通,SUP-000032,供应商物料-32
BS-00000033,2026-05-12,RK-00000033,03,2026-05-13,SKU-0017,物料-05,659,R20260512-0033,WH-003-电商仓,未审核,2027-09-22,B型,915,正常,LG202605120033,申通,SUP-000033,供应商物料-33
BS-00000034,2026-03-16,RK-00000034,01,2026-03-17,SKU-0008,物料-08,814,R20260316-0034,WH-001-主仓,未审核,2027-11-29,B型,553,,LG202603160034,顺丰,SUP-000034,供应商物料-34
BS-00000035,2026-06-02,RK-00000035,01,2026-06-04,SKU-0022,物料-26,390,R20260602-0035,WH-002-次仓,已审核,2026-12-26,B型,344,破损,LG202606020035,申通,SUP-000035,供应商物料-35
BS-00000036,2026-05-17,RK-00000036,03,2026-05-17,SKU-0006,物料-14,75,R20260517-0036,WH-001-主仓,已审核,2027-12-15,B型,388,破损,LG202605170036,顺丰,SUP-000036,供应商物料-36
BS-00000037,2026-03-12,RK-00000037,01,2026-03-12,SKU-0030,物料-14,588,R20260312-0037,WH-002-次仓,未审核,2026-11-23,A型,643,破损,LG202603120037,顺丰,SUP-000037,供应商物料-37
BS-00000038,2026-04-29,RK-00000038,01,2026-05-01,SKU-0021,物料-23,279,R20260429-0038,WH-001-主仓,未审核,2027-10-18,C型,845,正常,LG202604290038,顺丰,SUP-000038,供应商物料-38
BS-00000039,2026-03-28,RK-00000039,03,2026-03-28,SKU-0026,物料-22,56,R20260328-0039,WH-003-电商仓,已审核,2027-03-28,D型,549,正常,LG202603280039,中通,SUP-000039,供应商物料-39
BS-00000040,2026-05-23,RK-00000040,01,2026-05-25,SKU-0011,物料-18,925,R20260523-0040,WH-002-次仓,已审核,2027-07-10,A型,909,,LG202605230040,中通,SUP-000040,供应商物料-40
BS-00000041,2026-04-15,RK-00000041,01,2026-04-15,SKU-0003,物料-26,374,R20260415-0041,WH-002-次仓,已审核,2027-06-16,D型,710,正常,LG202604150041,中通,SUP-000041,供应商物料-41
BS-00000042,2026-05-17,RK-00000042,02,2026-05-17,SKU-0006,物料-05,890,R20260517-0042,WH-003-电商仓,已审核,2027-12-16,D型,342,破损,LG202605170042,中通,SUP-000042,供应商物料-42
BS-00000043,2026-03-24,RK-00000043,03,2026-03-26,SKU-0017,物料-10,189,R20260324-0043,WH-001-主仓,已审核,2027-08-14,A型,149,破损,LG202603240043,申通,SUP-000043,供应商物料-43
BS-00000044,2026-04-17,RK-00000044,02,2026-04-17,SKU-0007,物料-15,77,R20260417-0044,WH-001-主仓,已审核,2026-10-18,A型,792,正常,LG202604170044,圆通,SUP-000044,供应商物料-44
BS-00000045,2026-04-18,RK-00000045,03,2026-04-18,SKU-0006,物料-13,124,R20260418-0045,WH-003-电商仓,未审核,2027-09-27,D型,294,,LG202604180045,中通,SUP-000045,供应商物料-45
BS-00000046,2026-05-28,RK-00000046,01,2026-05-28,SKU-0021,物料-30,35,R20260528-0046,WH-001-主仓,已审核,2027-12-27,D型,352,正常,LG202605280046,圆通,SUP-000046,供应商物料-46
BS-00000047,2026-03-17,RK-00000047,02,2026-03-18,SKU-0013,物料-09,568,R20260317-0047,WH-003-电商仓,已审核,2027-05-29,C型,278,正常,LG202603170047,顺丰,SUP-000047,供应商物料-47
BS-00000048,2026-05-13,RK-00000048,02,2026-05-15,SKU-0014,物料-25,216,R20260513-0048,WH-001-主仓,已审核,2028-01-01,A型,815,破损,LG202605130048,圆通,SUP-000048,供应商物料-48
BS-00000049,2026-04-29,RK-00000049,02,2026-04-30,SKU-0019,物料-09,82,R20260429-0049,WH-003-电商仓,已审核,2027-11-20,A型,195,破损,LG202604290049,中通,SUP-000049,供应商物料-49
